,Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
10,True,True,Allgäuer Kraftwerke GmbH,6.50%,29.10%,5.60%,0.80%,52.90%,5.10%,100.00%,35.50%,13.80%,61.78%,11.89%,1.70%,10.83%,75.37%,318.0,0.0002,675.1592356687901,https://www.allgaeukraft.de/stromkennzeichnung.html,,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,,A,x,,,,,,,,,
11,True,True,Allgäuer Überlandwerk GmbH,6.40%,29.20%,5.20%,2.70%,47.90%,8.60%,100.00%,37.10%,12.28%,56.05%,9.98%,5.18%,16.51%,71.21%,318.0,0.0002,610.364683301344,https://www.auew.de/privatkunden/kontakt-service/gesetzgebung/stromkennzeichnung/,,Illerstraße 18,87435,Kempten,https://www.auew.de,,A,x,,,,,,,,,
12,True,True,Ammer-Loisach Energie GmbH,10.70%,27.20%,7.80%,1.30%,52.90%,0.10%,100.00%,36.30%,22.72%,57.75%,16.56%,2.76%,0.21%,77.07%,303.0,0.0003,643.312101910828,https://www.ammer-loisach-energie.de/unser-strom/strom-fuer-privatkunden/,,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,,A,x,,,,,,,,,
13,True,True,Aschaffenburger Versorgungs-GmbH,7.00%,30.10%,5.50%,0.90%,52.90%,3.60%,100.00%,36.50%,14.86%,63.91%,11.68%,1.91%,7.64%,77.49%,344.0,0.0002,730.36093418259,http://www.stwab.de/Energie-Wasser/Strom/Stromkennzeichnung/,,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,,A,x,,,,,,,,,
14,True,True,Audax Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.audaxenergie.de/?sec=strom,nicht vorhanden,,,,,,A,x,,,,,,,,,
15,True,True,AVU Aktiengesellschaft für Versorgungs-Unternehmen,9.40%,32.80%,4.70%,0.60%,51.30%,1.20%,100.00%,38.10%,19.30%,67.35%,9.65%,1.23%,2.46%,78.23%,342.0,0.0003,702.258726899384,https://www.avu.de/downloads/veroeffentlichungspflichten/energietraegermix-2017.pdf,,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,,A,x,,,,,,,,,
16,True,True,backnangstrom GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.backnangstrom.de/privatkunden/startseite/,nicht aktuell,,,,,,A,x,,,,,,,,,
17,True,True,badenova AG & Co. KG,3.40%,10.60%,9.00%,0.70%,50.40%,25.90%,100.00%,20.30%,6.85%,21.37%,18.15%,1.41%,52.22%,40.93%,139.0,0.0001,280.241935483871,https://www.badenova.de/web/Privatkunden/%C3%96kostrom/Informationen-und-Rechtliches/index.jsp,,Tullastraße 61,79108,Freiburg,https://www.badenova.de,,A,x,,,,,,,,,
18,True,True,Bad Honnef AG,3.50%,15.00%,13.40%,1.20%,52.90%,13.90%,99.90%,29.60%,7.43%,31.85%,28.45%,2.55%,29.51%,62.85%,197.0,0.0001,418.259023354565,https://www.bhag.de/stromkennzeichnung,,,,,,,A,x,,,,,,,,,
19,True,True,Bad Lauterberg Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.badlauterberg-energie.de/de/Referenzierter-Inhalt/Referenzierter-Downloads/Stromkennzeichnung-2018.pdf,nicht aktuell,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,,A,x,,,,,,,,,
20,True,True,BarMalGas GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,BarMalGas GmbH,(Ineon) nicht aktuell,,,,,,A,x,,,,,,,,,
21,True,True,Bauer Elektrounternehmen GmbH & Co.KG,18.10%,22.20%,5.70%,0.90%,53.00%,0.10%,100.00%,28.80%,38.51%,47.23%,12.13%,1.91%,0.21%,61.28%,243.0,0.0005,517.021276595745,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,,,,,,A,x,,,,,,,,,
22,True,True,BayWa Ökoenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.baywa-oekoenergie.de/fileadmin/media/global/strommix/Strommix_2017_BayWa_Oekoenergie_Stand_Oktober_2018.jpg,,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,,X,,,,,,,,,,
23,True,True,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",3.50%,19.40%,23.60%,1.80%,50.60%,1.10%,100.00%,44.80%,7.09%,39.27%,47.77%,3.64%,2.23%,90.69%,271.0,0.0001,548.582995951417,https://www.belkaw.de/de/privatkundenportal/tarife/rechtliches/stromkennzeichnung/index.php,,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,,A,x,,,,,,,,,
24,True,,Benergie-Service GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.benergie.de/privatkunden/oekostrom,,,,,,,,,,,,,,,,,
25,True,True,BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,8.70%,27.10%,3.60%,0.60%,52.90%,7.10%,100.00%,31.30%,18.47%,57.54%,7.64%,1.27%,15.07%,66.45%,294.0,0.0002,624.203821656051,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,,,,,,A,x,,,,,,,,,
26,True,,Berliner Stadtwerke GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://berlinerstadtwerke.de/okostrom/strommix/,,,,,,,,,,,,,,,,,
27,True,True,BeSte Stadtwerke GmbH,6.70%,19.40%,7.70%,1.00%,52.90%,12.30%,100.00%,28.10%,14.23%,41.19%,16.35%,2.12%,26.11%,59.66%,143.0,0.0002,303.609341825902,https://www.beste-stadtwerke.de/Produkte/Strom/,,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,,A,x,,,,,,,,,
28,True,True,BEV Bayerische Energieversorgungsgesellschaft mbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bev-energie.com/stromkennzeichnung/,nicht aktuell,,,,,,A,x,,,,,,,,,
29,True,True,BEW Bergische Energie- und Wasser-GmbH,10.10%,28.90%,4.80%,0.50%,52.90%,2.80%,100.00%,34.20%,21.44%,61.36%,10.19%,1.06%,5.94%,72.61%,665.0,0.0006,1411.88959660297,https://www.bergische-energie.de/fileadmin/user_upload/Dokumente/Urkunden_u._Rechtliches/Stromkennzeichnung_2017_Lokalstrom_Option_natur_01.pdf,    ,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,,A,x,,,,,,,,,
30,True,True,BIGGE ENERGIE GmbH & Co. KG,8.20%,33.30%,3.50%,0.30%,52.90%,1.80%,100.00%,37.10%,17.41%,70.70%,7.43%,0.64%,3.82%,78.77%,356.0,0.0002,755.83864118896,https://www.bigge-energie.de/fileadmin/user_upload/pagetree_root/Privatkunden/Produkte_Leistungen/01_Strom/Allgemein/Kennzeichnung_Stromlieferung_2018.pdf,,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,,A,x,,,,,,,,,
31,True,True,Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.billig-will-ich.de/,nicht vorhanden,,,,,,A,x,,,,,,,,,
32,True,True,Blomberger Versorgungsbetriebe GmbH,12.70%,15.50%,4.00%,0.60%,52.80%,14.40%,100.00%,20.10%,26.91%,32.84%,8.47%,1.27%,30.51%,42.58%,170.0,0.0003,360.16949152542395,https://www.bvb-blomberg.de/strom/tarif_2018.php,,Nederlandstraße 15,32825,Blomberg,https://www.bvb-blomberg.de/,,A,x,,,,,,,,,
33,True,True,Bocholter Energie- und Wasserversorgung GmbH,5.10%,18.50%,3.60%,0.40%,51.40%,21.00%,100.00%,22.50%,10.49%,38.07%,7.41%,0.82%,43.21%,46.30%,206.0,0.0001,423.868312757202,https://www.bew-bocholt.de/privatkunden/strom/stromkennzeichnung.html,,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,,A,x,,,,,,,,,
34,True,True,Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,7.00%,23.60%,7.40%,1.20%,45.60%,15.20%,100.00%,32.20%,12.87%,43.38%,13.60%,2.21%,27.94%,59.19%,273.0,0.0002,501.83823529411796,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,,,,,,A,x,,,,,,,,,
35,True,True,Bonus Strom GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,nicht aktuell,,,,,,A,x,,,,,,,,,
36,True,True,Braunschweiger Versorgungs-AG & Co. KG,8.10%,29.70%,9.60%,0.90%,49.20%,2.50%,100.00%,40.20%,15.94%,58.46%,18.90%,1.77%,4.92%,79.13%,332.0,0.0002,653.543307086614,https://www.bs-energy.de/fileadmin/BS_ENERGY/privatkunden/produkte/strom/Infoletter_Stromherkunft_BSEnergy_2018.pdf,,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,,A,x,,,,,,,,,
37,True,True,Burgenland Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,nicht aktuell,,,,,,A,x,,,,,,,,,
38,True,True,Bürger Energie Genossenschaft Freisinger Land e.G.,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,nicht aktuell,,,,,,A,x,,,,,,,,,
39,True,True,BürgerEnergie Solingen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.buergerenergie-solingen.de/,nicht vorhanden,,,,,,A,x,,,,,,,,,
40,True,True,Bürgerwerke eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,FEHLER fehlerhafte Kennzeichnung,,,,,,A,x,,,,,,,,,
41,True,,C. Ensinger GmbH & Co.KG,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,,,,,,,,,,,,,,,,,
42,True,True,CB Energie GmbH,6.40%,29.90%,6.70%,1.20%,52.90%,2.90%,100.00%,37.80%,13.59%,63.48%,14.23%,2.55%,6.16%,80.25%,337.0,0.0002,715.498938428875,https://cbenergie.de/stromkenng/,,,,,,,A,x,,,,,,,,,
43,True,True,Citiwerke - eine Marke der Thüga Energie GmbH,4.80%,14.70%,3.70%,0.60%,50.80%,25.40%,100.00%,19.00%,9.76%,29.88%,7.52%,1.22%,51.63%,38.62%,166.0,0.0001,337.39837398374,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,,,,,,A,x,,,,,,,,,
44,True,True,Cramer Mühle KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.cramermuehle.de/index.html,nicht vorhanden,,,,,,A,x,,,,,,,,,
45,True,True,Crämer Schmäling GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,nicht aktuell,,,,,,A,x,,,,,,,,,
46,True,True,DB Energie,13.00%,33.70%,10.10%,0.70%,19.70%,22.80%,100.00%,44.50%,16.19%,41.97%,12.58%,0.87%,28.39%,55.42%,371.0,0.0004,462.017434620174,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,,,,,,A,x,,,,,,,,,
47,True,True,Dessauer Stromversorgung GmbH,7.30%,18.00%,21.30%,0.90%,51.20%,1.30%,100.00%,40.20%,14.96%,36.89%,43.65%,1.84%,2.66%,82.38%,237.0,0.0002,485.655737704918,https://www.dvv-dessau.de/fileadmin/user_upload/Privatkunden/Strom/Docs/Strommix_2017__grafik.pdf,,Albrechtstraße 48,06844,Dessau,https://www.dvv-dessau.de,,A,x,,,,,,,,,
48,True,True,die energievorsorger GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.die-energievorsorger.de/strom/,,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,,A,,,,,,,,,,
49,True,True,Donau-Stadtwerke Dillingen-Lauingen,7.90%,24.20%,9.10%,1.50%,52.90%,3.90%,99.50%,34.80%,16.77%,51.38%,19.32%,3.18%,8.28%,73.89%,238.0,0.0002,505.3078556263269,http://www.dsdl.de/wp-content/uploads/Stromkennzeichnung_2018.pdf,,,,,,,A,x,,,,,,,,,
50,True,True,Dortmunder Energie- und Wasserversorgung GmbH,4.30%,15.00%,3.90%,0.40%,51.80%,24.60%,100.00%,19.30%,8.92%,31.12%,8.09%,0.83%,51.04%,40.04%,166.0,0.0001,344.398340248963,https://vertrieb.dew21.de/grossunternehmen/stromkennzeichnung/,,,,,,,A,x,,,,,,,,,
51,True,True,Dreipunkt Energie - Eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,9.40%,32.80%,4.70%,0.60%,51.30%,1.20%,100.00%,38.10%,19.30%,67.35%,9.65%,1.23%,2.46%,78.23%,342.0,0.0003,702.258726899384,https://www.dreipunktenergie.de/quantum_cms/_media/2e93b1df072d87e0.energietraegermix-2017-210x99_.pdf,,,,,,,A,x,,,,,,,,,
52,True,True,Dreischtrom GmbH,12.70%,38.10%,10.20%,2.40%,33.10%,3.50%,100.00%,50.70%,18.98%,56.95%,15.25%,3.59%,5.23%,75.78%,435.0,0.0003,650.224215246637,https://www.dreischtrom.de/files/pdf/Download/Energiemix_2017.pdf,,,,,,,A,x,,,,,,,,,
53,True,True,DREWAG - Stadtwerke Dresden GmbH,4.80%,16.10%,26.00%,0.80%,45.50%,6.80%,100.00%,42.90%,8.81%,29.54%,47.71%,1.47%,12.48%,78.72%,356.0,0.0002,653.2110091743119,https://www.drewag.de/wps/portal/drewag/cms/menu_main/geschaeftskunden/produkte/strom/jahresverbrauch-ab-100.000-kwh/dresdner-strom-natur,,Friedrich-List-Platz 2,01069,Dresden,https://www.drewag.de,,A,x,,,,,,,,,
54,True,True,E.ON Energie Deutschland GmbH,15.40%,22.20%,5.80%,1.00%,51.50%,4.10%,100.00%,29.00%,31.75%,45.77%,11.96%,2.06%,8.45%,59.79%,248.0,0.0004,511.340206185567,https://www.eon.de/de/pk/service/rechtliches-veroeffentlichungspflichten/stromkennzeichnung.html,,Arnulfstraße 203,80634,München,https://www.eon.de,,A,x,,,,,,,,,
55,True,True,E.VITA GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evita-energie.de/gewerbekunden/service/marktinformationen/strompreis/,nicht aktuell,,,,,,A,x,,,,,,,,,
56,True,True,e.wa riss GmbH & Co KG,8.50%,28.40%,7.40%,1.00%,52.90%,1.80%,100.00%,36.80%,18.05%,60.30%,15.71%,2.12%,3.82%,78.13%,322.0,0.0002,683.6518046709132,https://www.ewa-riss.de/de/Strom/,,Freiburger Straße 6,88400,Biberach,https://www.ewa-riss.de,,A,x,,,,,,,,,
57,True,True,EAM Energie GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.eam.de/fileadmin/public/0.downloads/1.kunden/strom/EAM_Produktblatt_Strom_011118.pdf,,Monteverdistraße 2,34131,Kassel,https://www.eam.de,,R?,,,?,,,,,,,
58,True,,EBLD Schweiz Strom GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.schweizstrom.de/de/ueber-uns/stromkennzeichnung.html,,,,,,,,,,,,,,,,,
59,True,True,Econsum GmbH,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358.0,0.0002,760.084925690021,https://www.econsum.com/service/stromkennzeichnung,,,,,,,A,x,,,,,,,,,
60,True,True,EGF EnergieGesellschaft Frankenberg mbH,4.20%,5.10%,1.30%,0.20%,52.90%,36.30%,100.00%,6.60%,8.92%,10.83%,2.76%,0.42%,77.07%,14.01%,61.0,0.0001,129.511677282378,https://www.egf-frankenberg.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/2017-Stromkennzeichnung-der-EGF.pdf,,,,,,,A,x,,,,,,,,,
61,True,True,EGT Energievertrieb GmbH,7.50%,22.50%,8.60%,1.20%,45.30%,15.00%,100.10%,32.30%,13.71%,41.13%,15.72%,2.19%,27.42%,59.05%,263.0,0.0002,480.80438756855597,https://www.egt.de/fileadmin/egt/Dokumente/Privat_Gewerbe/Strom/EGT_Tarifuebersicht_Strom_Web_01.pdf,,Schonacher Str. 2,78098,Triberg,https://www.egt.de,,A,x,,,,,,,,,
62,True,True,EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,16.16%,20.19%,5.25%,0.87%,52.94%,4.60%,100.01%,26.31%,34.34%,42.90%,11.16%,1.85%,9.77%,55.91%,222.0,0.0004,471.73820654483706,https://www.ehinger-energie.de/wp-content/uploads/2018/10/Stromkennzeichnung_2018.pdf,,,,,,,A,x,,,,,,,,,
63,True,True,Eichenmüller GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.vertrieb.ew-eichenmueller.de/Infos/infos.html,nicht aktuell,,,,,,A,x,,,,,,,,,
64,True,True,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,5.60%,17.50%,6.90%,0.80%,52.90%,16.30%,100.00%,25.20%,11.89%,37.15%,14.65%,1.70%,34.61%,53.50%,201.0,0.0002,426.751592356688,https://www.ewb-duderstadt.de/de/Strom/Ausgezeichnet/Energiemix-2017.pdf,,Am Euzenberg 32,37115,Duderstadt,https://www.ewb-duderstadt.de,,A,x,,,,,,,,,
65,True,True,Eichsfeldgas GmbH,10.90%,21.40%,13.10%,0.80%,52.90%,0.80%,99.90%,35.30%,23.14%,45.44%,27.81%,1.70%,1.70%,74.95%,249.0,0.0003,528.662420382166,https://www.eichsfeldwerke.de/energie/strom/stromzusammensetzung/,,,,,,,A,x,,,,,,,,,
66,True,,Einhorn Energie GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.einhorn-energie.de/site/assets/files/1862/ee_stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,,
67,True,True,eins energie in sachsen GmbH & Co. KG,7.70%,31.60%,7.50%,1.10%,48.60%,3.50%,100.00%,40.20%,14.98%,61.48%,14.59%,2.14%,6.81%,78.21%,435.0,0.0003,846.303501945525,https://www.eins.de/files/eins/content/dokumente/Privatkunden/Strom/eins_Stromkennzeichnung_2017.jpg,,Augustusburger Straße 1,09111,Chemnitz,https://www.eins.de,,A,x,,,,,,,,,
68,True,True,Eisenacher Versorgungs-Betriebe GmbH,7.40%,30.40%,10.40%,1.00%,50.40%,0.40%,100.00%,41.80%,14.92%,61.29%,20.97%,2.02%,0.81%,84.27%,352.0,0.0002,709.677419354839,https://www.evb-energy.de/documents/68334/195505/evb_Stromkennzeichnung_2018.pdf/d364e5af-7057-f5bb-3762-efe635cc72bf,,,,,,,A,x,,,,,,,,,
69,True,True,Elektra-Genossenschaft Effeltrich eG,18.10%,22.20%,5.70%,0.90%,52.90%,0.00%,99.80%,28.80%,38.43%,47.13%,12.10%,1.91%,0.00%,61.15%,243.0,0.0005,515.923566878981,https://elektra-effeltrich.de/endverbraucher/unser-strom/,,Hauptstr. 1,91090,Effeltrich,https://elektra-effeltrich.de/,,A,x,,,,,,,,,
70,True,True,Elektra-Genossenschaft Pinzberg eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.elektra-pinzberg.de/,FEHLER Website wird neu erstellt,,,,,,A,x,,,,,,,,,
71,True,True,Elektrizitäts-Genossenschaft Dirmstein eG,8.60%,28.20%,8.90%,1.20%,52.90%,0.00%,99.80%,38.30%,18.26%,59.87%,18.90%,2.55%,0.00%,81.32%,322.0,0.0002,683.6518046709132,https://www.egdirmstein.de/_Resources/Persistent/39bd247468188b2ee1b22bdad1f05bd684014aba/2017_Stromkennzeichnung_EGD.pdf,,,,,,,A,x,,,,,,,,,
72,True,True,Elektrizitätsgenossenschaft Engelsberg e.G.,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eg-engelsberg.de/stromkennzeichnung,FEHLER Deutschland-Mix,Osnabrücker Straße 31a,49219,Glandorf,https://www.eg-engelsberg.de,,A,x,,,,,,,,,
73,True,True,Elektrizitätsgenossenschaft Hasbergen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eg-hasbergen.de/media/download/veroeffentlichungen/Stromkennzeichnung_2017.pdf,FEHLER mit EEG,,,,,,A,x,,,,,,,,,
