Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,,Citiwerke - eine Marke der Thüga Energie GmbH,4.80%,14.70%,3.70%,0.60%,50.80%,25.40%,100.00%,19.00%,9.76%,29.88%,7.52%,1.22%,51.63%,38.62%,166.0,0.0001,337.39837398374,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,,,,,,,,,,,,,,,,
True,,Cramer Mühle KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.cramermuehle.de/index.html,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Crämer Schmäling GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,nicht aktuell,,,,,,,,,,,,,,,,
True,,DB Energie,13.00%,33.70%,10.10%,0.70%,19.70%,22.80%,100.00%,44.50%,16.19%,41.97%,12.58%,0.87%,28.39%,55.42%,371.0,0.0004,462.017434620174,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,,,,,,,,,,,,,,,,
True,,Donau-Stadtwerke Dillingen-Lauingen,7.90%,24.20%,9.10%,1.50%,52.90%,3.90%,99.50%,34.80%,16.77%,51.38%,19.32%,3.18%,8.28%,73.89%,238.0,0.0002,505.30785562632695,http://www.dsdl.de/wp-content/uploads/Stromkennzeichnung_2018.pdf,,,,,,,,,,,,,,,,,
True,,Dortmunder Energie- und Wasserversorgung GmbH,4.30%,15.00%,3.90%,0.40%,51.80%,24.60%,100.00%,19.30%,8.92%,31.12%,8.09%,0.83%,51.04%,40.04%,166.0,0.0001,344.398340248963,https://vertrieb.dew21.de/grossunternehmen/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Dreipunkt Energie - Eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,9.40%,32.80%,4.70%,0.60%,51.30%,1.20%,100.00%,38.10%,19.30%,67.35%,9.65%,1.23%,2.46%,78.23%,342.0,0.0003,702.258726899384,https://www.dreipunktenergie.de/quantum_cms/_media/2e93b1df072d87e0.energietraegermix-2017-210x99_.pdf,,,,,,,,,,,,,,,,,
True,,Dreischtrom GmbH,12.70%,38.10%,10.20%,2.40%,33.10%,3.50%,100.00%,50.70%,18.98%,56.95%,15.25%,3.59%,5.23%,75.78%,435.0,0.0003,650.224215246637,https://www.dreischtrom.de/files/pdf/Download/Energiemix_2017.pdf,,,,,,,,,,,,,,,,,
True,,E.VITA GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evita-energie.de/gewerbekunden/service/marktinformationen/strompreis/,nicht aktuell,,,,,,,,,,,,,,,,
True,,EBLD Schweiz Strom GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.schweizstrom.de/de/ueber-uns/stromkennzeichnung.html,,,,,,,,,,,,,,,,,
True,,Econsum GmbH,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358.0,0.0002,760.084925690021,https://www.econsum.com/service/stromkennzeichnung,,,,,,,,,,,,,,,,,
True,,EGF EnergieGesellschaft Frankenberg mbH,4.20%,5.10%,1.30%,0.20%,52.90%,36.30%,100.00%,6.60%,8.92%,10.83%,2.76%,0.42%,77.07%,14.01%,61.0,0.0001,129.511677282378,https://www.egf-frankenberg.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/2017-Stromkennzeichnung-der-EGF.pdf,,,,,,,,,,,,,,,,,
True,,EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,16.16%,20.19%,5.25%,0.87%,52.94%,4.60%,100.01%,26.31%,34.34%,42.90%,11.16%,1.85%,9.77%,55.91%,222.0,0.0004,471.73820654483706,https://www.ehinger-energie.de/wp-content/uploads/2018/10/Stromkennzeichnung_2018.pdf,,,,,,,,,,,,,,,,,
True,,Eichenmüller GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.vertrieb.ew-eichenmueller.de/Infos/infos.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Eichsfeldgas GmbH,10.90%,21.40%,13.10%,0.80%,52.90%,0.80%,99.90%,35.30%,23.14%,45.44%,27.81%,1.70%,1.70%,74.95%,249.0,0.0003,528.662420382166,https://www.eichsfeldwerke.de/energie/strom/stromzusammensetzung/,,,,,,,,,,,,,,,,,
True,,Einhorn Energie GmbH & Co. KG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.einhorn-energie.de/site/assets/files/1862/ee_stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,,
True,,Eisenacher Versorgungs-Betriebe GmbH,7.40%,30.40%,10.40%,1.00%,50.40%,0.40%,100.00%,41.80%,14.92%,61.29%,20.97%,2.02%,0.81%,84.27%,352.0,0.0002,709.677419354839,https://www.evb-energy.de/documents/68334/195505/evb_Stromkennzeichnung_2018.pdf/d364e5af-7057-f5bb-3762-efe635cc72bf,,,,,,,,,,,,,,,,,
True,,Elektra-Genossenschaft Pinzberg eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.elektra-pinzberg.de/,FEHLER Website wird neu erstellt,,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Dirmstein eG,8.60%,28.20%,8.90%,1.20%,52.90%,0.00%,99.80%,38.30%,18.26%,59.87%,18.90%,2.55%,0.00%,81.32%,322.0,0.0002,683.6518046709131,https://www.egdirmstein.de/_Resources/Persistent/39bd247468188b2ee1b22bdad1f05bd684014aba/2017_Stromkennzeichnung_EGD.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Hasbergen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eg-hasbergen.de/media/download/veroeffentlichungen/Stromkennzeichnung_2017.pdf,FEHLER mit EEG,,,,,,,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,18.10%,22.20%,5.70%,0.90%,52.90%,0.10%,99.90%,28.80%,38.43%,47.13%,12.10%,1.91%,0.21%,61.15%,243.0,0.0005,515.923566878981,http://www.eg-nordhalben.de/downloads/Strommix.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Oesterweg eG,9.70%,34.40%,2.70%,0.30%,52.90%,0.00%,100.00%,37.40%,20.59%,73.04%,5.73%,0.64%,0.00%,79.41%,368.0,0.0003,781.3163481953289,http://www.eg-oesterweg.de/pdf/Stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Röthenbach eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.eg-roethenbach.de/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Schlachters eG,0.00%,0.00%,0.00%,0.00%,48.40%,51.60%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.eg-schlachters.de/images/Dok71.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Schonstett eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.eg-schonstett.de/index.php/content/view/19/34/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Unterneukirchen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eg-unterneukirchen.de/index.php?id=26,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,Elektrizitätsgesellschaft Levern eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.eg-levern.de/desktopdefault.aspx/tabid-597.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitäts-VersorgungGenossenschaft Perlesreut eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.evg-perlesreut.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Aach GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ew-aach.de/wir-ueber-uns/ew-aach-gmbh/publikationen/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Diessen Stadler GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.ew-diessen.de/netz/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Georg Grandl e.K.,14.00%,17.00%,4.00%,1.00%,53.00%,11.00%,100.00%,22.00%,29.79%,36.17%,8.51%,2.13%,23.40%,46.81%,186.0,0.0004,395.744680851064,https://www.ew-grandl.de/veroeffentlichungen-nach-enwg-vertrieb/,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,10.80%,25.10%,5.10%,0.70%,52.90%,5.30%,99.90%,30.90%,22.93%,53.29%,10.83%,1.49%,11.25%,65.61%,271.0,0.0003,575.371549893843,https://www.ew-goldbach-hoesbach.de/downloads/formulare/20181029_EWG_Stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Haimmerer,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.e-werk-haimmerer.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Hauenstein,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.energie-hauenstein.de/werk/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Heinrich Schirmer,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ew-schirmer.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Landsberg GmbH,8.60%,31.10%,5.20%,0.50%,52.90%,1.70%,100.00%,36.80%,18.26%,66.03%,11.04%,1.06%,3.61%,78.13%,341.0,0.0002,723.9915074309979,https://www.ewlandsberg.de/media/7162/stromkennzeichnung_ewl.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Leitlein GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://leitlein.com/w_strom.htm,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Markt Obernzell,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.obernzell.de/index.php/rathaus/gemeindewerke,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Max Peißker,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://max-peissker.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Mittelbaden AG & Co. KG,8.60%,24.60%,7.20%,1.50%,50.80%,7.30%,100.00%,33.30%,17.48%,50.00%,14.63%,3.05%,14.84%,67.68%,275.0,0.0002,558.943089430894,https://webportal.e-werk-mittelbaden.de/csit/action/csShowProducts?fileID=d7e16ce0-a30f-11e5-a8d4-41b4ac1021e0%3Acb3ff16e%3AHBN&formReset.x=true,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Müller Tauberrettersheim,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.mueller-muehle.de/html/energietrager-mix.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ew-ottenhoefen.de/stromtarife/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Rohmund GmbH,8.50%,24.00%,9.30%,1.40%,52.90%,3.90%,100.00%,34.70%,18.05%,50.96%,19.75%,2.97%,8.28%,73.67%,330.0,0.0003,700.636942675159,https://www.ew-rohmund.de/downloads/stromkennzeichnung-2017-ewr.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Rosenmühle e.K.,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,Elektrizitätswerk Rosenmühle e.K.,FEHLER keine Website,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Schweiger GmbH,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358.0,0.0002,760.084925690021,https://www.ew-schweiger.de/phocadownload/energiemix-website%202017.pdf,,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Weißenhorn AG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.ewag-weissenhorn.de/gewerbe/download-center/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Wennenmühle Schörger KG,22.00%,27.00%,3.00%,3.00%,45.00%,0.00%,100.00%,33.00%,40.00%,49.09%,5.45%,5.45%,0.00%,60.00%,259.0,0.0006,470.90909090909105,https://www.wennenmuehle.de/energiemix.html,,,,,,,,,,,,,,,,,
True,,Elektro-Trück GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,Elektro-Trück GmbH,FEHLER keine Website,,,,,,,,,,,,,,,,
True,,Elogico - Eine Marke der ENSTROGA AG,3.98%,12.24%,4.58%,0.73%,52.94%,25.53%,100.00%,17.55%,8.46%,26.01%,9.73%,1.55%,54.25%,37.29%,143.0,0.0001,303.867403314917,https://www.elogico.de/unternehmen/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,em.serv GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.emserv-gmbh.de/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Emil Energie GmbH,13.50%,21.60%,11.80%,0.20%,52.90%,0.00%,100.00%,33.60%,28.66%,45.86%,25.05%,0.42%,0.00%,71.34%,261.0,0.0004,554.140127388535,https://www.emil-energie.de/wp-content/uploads/2012/08/Grafiken_Stromherkunft_EmilEnergie_2017_RZ.jpg,,,,,,,,,,,,,,,,,
True,,EMMA Energie - eine Marke von TWL Energie Deutschland GmbH,9.00%,27.20%,8.80%,2.00%,52.90%,0.10%,100.00%,38.00%,19.11%,57.75%,18.68%,4.25%,0.21%,80.68%,227.0,0.0002,481.953290870488,https://emma-energie.de/informationen/strommix,,,,,,,,,,,,,,,,,
True,,ener.my GmbH,33.60%,0.00%,0.00%,0.00%,52.90%,13.20%,99.70%,0.00%,71.34%,0.00%,0.00%,0.00%,28.03%,0.00%,2.0,0.0009,4.24628450106157,https://enermy.de/media/Stromkennzeichnung.pdf,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,eneREGIO GmbH,9.22%,29.89%,6.42%,1.41%,52.94%,0.12%,100.00%,37.72%,19.59%,63.51%,13.64%,3.00%,0.25%,80.15%,330.0,0.0002,701.23246918827,https://www.eneregio.com/wp-content/uploads/2018/10/Strommix-f%C3%BCr-das-Bezugsjahr-2017-g%C3%BCltig-ab-01.11.2018.pdf,,,,,,,,,,,,,,,,,
True,,Energie Aktiengesellschaft Iserlohn,10.40%,36.90%,3.00%,0.30%,39.70%,9.70%,100.00%,40.20%,17.25%,61.19%,4.98%,0.50%,16.09%,66.67%,393.0,0.0003,651.741293532338,https://www.energie-ag.de/de/Fussnavigation/Stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Energie Calw GmbH,15.10%,21.10%,3.90%,1.70%,52.90%,5.30%,100.00%,26.70%,32.06%,44.80%,8.28%,3.61%,11.25%,56.69%,216.0,0.0004,458.59872611464993,https://www.encw.de/wissenswertes-fuer-privatkunden/,,,,,,,,,,,,,,,,,
True,,Energie Rellingen - eine Marke der Stadtwerke Elmshorn,3.10%,8.90%,4.50%,0.50%,52.10%,30.90%,100.00%,13.90%,6.47%,18.58%,9.39%,1.04%,64.51%,29.02%,110.0,0.0001,229.64509394572002,https://www.energie-rellingen.de/de/Startseite/Energie-in-Rellingen-zu-Hause.html#strom,,,,,,,,,,,,,,,,,
True,,ENERGIERIED GmbH & Co. KG,8.70%,25.90%,8.40%,1.70%,52.90%,2.40%,100.00%,36.00%,18.47%,54.99%,17.83%,3.61%,5.10%,76.43%,299.0,0.0002,634.819532908705,https://www.energieried.de/strom/,,,,,,,,,,,,,,,,,
True,,Energie SaarLorLux AG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.energie-saarlorlux.com/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Energie Sachsenheim GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://energie-sachsenheim.de/privatkunden/strom/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Energie- und Medienversorgung Schwarza GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.tws-waerme.de/leistungsangebot/stromtarife.html,nicht aktuell,,,,,,,,,,,,,,,,
True,,Energie und Wasserversorgung Aktiengesellschaft Kamenz,6.90%,29.30%,8.30%,1.40%,52.90%,1.20%,100.00%,39.00%,14.65%,62.21%,17.62%,2.97%,2.55%,82.80%,330.0,0.0002,700.636942675159,https://ewagkamenz.de/strom-news/service/strom-energietraegermix,,,,,,,,,,,,,,,,,
True,,Energie und Wasser Waldbröl GmbH,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.ew-waldbroel.de/service/downloads/,,,,,,,,,,,,,,,,,
True,,Energieversorgung Alzenau GmbH,18.10%,22.10%,5.70%,0.90%,52.90%,0.20%,99.90%,28.70%,38.43%,46.92%,12.10%,1.91%,0.42%,60.93%,243.0,0.0005,515.923566878981,https://www.eva-alzenau.de/_Resources/Persistent/64a5fbeddcfd4ceac911cc707f19c93d77dc596b/Strommix-2017-EVA-Alzenau.pdf,,,,,,,,,,,,,,,,,
True,,Energieversorgung Apolda GmbH,6.60%,22.80%,17.20%,0.50%,52.90%,0.00%,100.00%,40.50%,14.01%,48.41%,36.52%,1.06%,0.00%,85.99%,256.0,0.0002,543.524416135881,https://evapolda.de/energietraegermix.html,,,,,,,,,,,,,,,,,
True,,Energieversorgung Beckum GmbH & Co. KG,9.70%,34.40%,2.70%,0.30%,52.90%,0.00%,100.00%,37.40%,20.59%,73.04%,5.73%,0.64%,0.00%,79.41%,368.0,0.0002,781.3163481953289,https://www.evb-beckum.de/strom/stromkennzeichnung#,,,,,,,,,,,,,,,,,
True,,Energieversorgung Gemünden GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evg-gemuenden.de/faq/#1470326428034-c7fd9122-c175,nicht aktuell,,,,,,,,,,,,,,,,
True,,Energieversorgung Guben GmbH,9.00%,31.70%,5.80%,0.50%,52.90%,0.00%,99.90%,38.00%,19.11%,67.30%,12.31%,1.06%,0.00%,80.68%,352.0,0.0002,747.346072186837,https://www.ev-guben.de/downloads/Stromkennzeichnung_2017_26.10.2018.pdf,,,,,,,,,,,,,,,,,
True,,Energieversorgung Inselsberg GmbH,5.70%,33.00%,8.60%,0.90%,51.10%,0.80%,100.10%,42.50%,11.66%,67.48%,17.59%,1.84%,1.64%,86.91%,347.0,0.0002,709.61145194274,https://www.evi-energy.de/de/Energiemix.pdf,,,,,,,,,,,,,,,,,
True,,Energieversorgung Klettgau-Rheintal GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evkr-gmbh.de/haushaltskunden/energietraegermix/,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
