Anbieter,Tarif,Verfügbarkeit,Telefon,Website
Stadtwerke Annweiler am Trifels,Naturstrom Annweiler,regional,06346 30090,www.stadtwerke-annweiler.de/index.php/oekostrom.html
Stadtwerke Bad Dürkheim,Naturstrom GSL,regional,06322 935813,www.sw-duerkheim.de/strom-stadtwerke/naturstrom/naturstrom.html
Stadtwerke Bliestal GmbH,"Naturstrom ""Grüner Strom Label,regional,06842 92020,www.stadtwerke-bliestal.de/privatkunden/strom/produkte/naturstrom/
Stadtwerke Eichstätt Versorgungs-GmbH,Eichstätt Regenerativ,regional,08421 60050,www.stadtwerke-eichstaett.de/strom/preismodelle/eichstaett-energreen/
Stadtwerke Eisenberg Energie GmbH,LAND-STROM privat LAND-STROM profi,regional,036691 66611,LAND-Strom privat: https://portal.stadtwerke-eisenberg.de/is-bin/INTERSHOP.enfinity/WFS/SWE-SWEPortal-Site/de_DE/-/EUR/ViewProductDetail-Start?ProductUUID=TPCsFAFzubYAAAE1bpAMWAtM&CatalogCategoryID=fFesFAFzBm4AAAEz3ssNhGmC  LAND-Strom profi: https://portal.stadtwerke-eisenberg.de/is-bin/INTERSHOP.enfinity/WFS/SWE-SWEPortal-Site/de_DE/-/EUR/ViewProductDetail-Start?ProductUUID=vGqsFAFzvroAAAE1XJoQjD7L&CatalogCategoryID=GWSsFAFzsUkAAAEz28sNhGmC
Stadtwerke Elm-Lappwald,ELLA|Naturstrom,regional,05353 9396123,www.stadtwerke-elm-lappwald.de/privatkunden/naturstrom/
Stadtwerke Frankenthal GmbH,strom fix natur / strom fix natur plus,regional,06233 6020,www.stw-frankenthal.de/energie-wasser/strom/naturstrom.html
Stadtwerke Germersheim GmbH,SwG Naturstrom,regional,07274 7018340,www.stw-ger.de/de/Strom/Germersheim-Sondernheim/Gruener-Strom/Gruener-Strom_73568.html
Stadtwerke Gifhorn GmbH,Gifhorn|Naturstrom,regional,05371 8393789,www.stadtwerke-gifhorn.de/privatkunden/strom/gifhornnaturstrom/index.htm
Stadtwerke Heidelberg Energie GmbH,heidelberg GREEN,bundesweit,06221 5130,www.swhd.de/heidelberg-green
Stadtwerke Kaiserslautern GmbH,Natura Premium,regional,0631 80010,www.swk-kl.de/privatkunden/produkte-leistungen/strom/swk-natura-premium.html
Stadtwerke Konstanz GmbH,Enspire Energie SeeEnergie ÖkostromPlus,Enspire Energie: bundesweitSeeEnergie ÖkostromPlus: regional,Enspire Energie: 07531 8035200SeeEnergie ÖkostromPlus: 07531 803200,Enspire Energie: www.enspire-energie.de/oekostrom-bodensee/  SeeEnergie ÖkostromPlus: www.stadtwerke-konstanz.de/energie-und-wasser/strom/seeenergie-tarife/oekostromplus/
Stadtwerke Kusel GmbH,Naturstrom ""kuselstrom natur",regional,06381 42070,www.stadtwerke.kusel.de
Stadtwerke Lambrecht (Pfalz) GmbH,Naturstrom,regional,06325 1890,www.sw-lambrecht.de
Stadtwerke Löffingen,NaturEnergie Gold,regional,07654 8020,www.stadtwerke-loeffingen.de/index.php?id=420
Stadtwerke Menden GmbH,naturliebeStromE-Mobil: daheim,regional,02373 169 2313,naturliebeStrom: www.naturliebe-strom.de E-mobil: daheim: www.stadtwerke-menden.de
Stadtwerke Münster GmbH,Münster:natürlich,bundesweit,0251 6941212,www.stadtwerke-muenster.de/privatkunden/strom/alle-stromprodukte/muensternatuerlich/produktuebersicht.html
Stadtwerke Neustadt/Weinstraße GmbH,Stadtwerke Neustadt Natur,regional,06321 402271,www.swneustadt.de
Stadtwerke Pinneberg GmbH,pinnau.strom natur,regional,04101 2030,www.stadtwerke-pinneberg.de/privatkunden/strom/pinnau-strom-natur.html
Stadtwerke Pirmasens Versorgungs GmbH,SWPS-Naturstrom,regional,06331 8760,www.stadtwerke-pirmasens.de/index.php?id=41
Stadtwerke Schramberg GmbH & Co. KG,NaturEnergie Gold,regional,07422 95340,www.stadtwerke-schramberg.de/de/Privatkunden
Stadtwerke Springe GmbH,Springe|Naturstrom,regional,05041 640798,www.stadtwerke-springe.de/privatkunden/stromprodukte/springenaturstrom/
Stadtwerke St. Ingbert GmbH,Naturstrom,regional,06894 95520,www.sw-igb.de/strom/produkte.html
Stadtwerke Weserbergland,regioNATUR.STROM,regional,05151 822870,www.stadtwerke-weserbergland.de/angebote/naturstrom.html
Stadtwerke Zweibrücken GmbH,Naturstrom,regional,06332 8740,www.stadtwerke-zw.de/privatkunden/strom/naturstrom/
Stromversorgung Neunkirchen GmbH,natürlich neunkirchen,regional,09123 1730,www.stwl.lauf.de/de/Strom/Oekostrom/Sie-wollen-Strom-aber-natuerlich.html
StWL Städtische Werke Lauf a.d. Pegnitz GmbH,natürlich lauf,regional,09123 1730,www.stwl.lauf.de/de/Strom/Oekostrom/Sie-wollen-Strom-aber-natuerlich.html
Verbands- und Gemeindewerke Rülzheim,Ökozuschlag auf die allgemeinen Tarife,regional,07272 70021011,www.gemeindewerke-ruelzheim.de/energie/naturstrom_ru.html
Verbandsgemeindewerk Dannstadt-Schauernheim,Naturstrom,regional,06231 4010,www.vg-werk-dannstadt-schauernheim.de
Verbandsgemeindewerke Dudenhofen,Naturstrom,regional,06232 6560,www.vgrd.de/vg_rd/Werke/Naturstrom/
Verbandsgemeindewerke Eisenberg/Ramsen,Naturstrom,regional,06351 407100,www.vgwerke-eisenberg.de
Verbandsgemeindewerke Enkenbach-Alsenborn,Naturstrom,regional,06303 913124,www.enkenbach-alsenborn.de
Verbandsgemeindewerke Hettenleidelheim,Naturstrom,regional,0621 585-2010,www.vg-h.de/node/22
Verbandsgemeindewerke Hochspeyer,Ökozuschlag auf die allgemeinen Tarife,regional,06305 710,www.vgw-hochspeyer.de
WEMAG AG,wemio-Ökoaktivstrom  WEMAG-Ökoaktivstrom  WEMAG Premium-Ökoaktivstrom,bundesweit,wemio-Ökoaktivstrom: 0385 7552755  WEMAG-Ökoaktivstrom: 0385 7551771  WEMAG Premium-Ökoaktivstrom: 0385 7551771,wemio-Ökoaktivstrom: www.wemag.com/privatkunden/strom/wemio_strom/  WEMAG (Premium-)Ökoaktivstrom: www.wemag.com/geschaeftskunden/strom/klimakollekte
