Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
Einhorn-Energie GmbH & Co. KG,,,true,false,true,,,Mühlenweg 10 - 89537 Giengen,
Elektrizitätsgenossenschaft Dirmstein eG,true,true,false,false,true,Tel. 06233 / 602-0,www.egdirmstein.de,Wormser Straße 111 - 67227 Frankenthal (Pfalz),regional
Elektrizitätsgenossenschaft Hasbergen eG,,,,true,false,,,,
Elektrizitätsgenossenschaft Karlstein eG,,,true,false,false,,,,
Elektrizitätsversorgung Rheinzabern,,true,false,false,false,07272 750820,www.evu-rheinzabern.de/stromversorgung/vertraege.php,,regional
Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,,true,false,false,false,06372 922000,www.bruchmuehlbach-miesau.de,,regional
Elektrizitätsversorgung Waldsee,,true,false,false,false,--,www.vg-rheinauen.de,,regional
Elektrizitätsversorgung Wattenheim,,true,false,false,false,030 27 572400,www.vg-h.de,,regional
Elektrizitätsversorgung Weilerbach,,true,false,false,false,06374 9220,www.evu-weilerbach.de,,regional
Elektrizitätswerke Reutte AG,,,true,false,false,,,,
Elektrizitätswerk Mittelbaden AG & Co. KG,,true,false,false,true,07821 2800,www.e-werk-mittelbaden.de,Lotzbeckstraße 45 - 77933 Lahr,regional
Elektrizitätswerk Rieger GmbH & Co. KG,,,true,false,false,,,,
ener.my GmbH,,,true,false,true,,,Kurfürstenstraße 50 - 53115 Bonn,
enercity - Stadtwerke Hannover AG,,true,false,false,false,0511 4300,https://www.enercity.de/privatkunden/produkte/strom/oekostrom-premium/,,regional
Energie Aktiengesellschaft Iserlohn,true,,false,false,false, ,www.energie-ag.de/,,
Energiedienst AG,,,true,false,false,,,,
Energiedienst Holding AG,,true,false,false,false,07623 921200,www.naturenergie.de/gold,,bundesweit (für Kunden >1 GWh)regional (für Kunden <1 GWh)
Energiegenossenschaft für Wittmund eG,,,,true,false,,,,
Energiegenossenschaft Odenwald eG,true,,false,false,false, ,www.eg-odenwald.de,,
Energiegenossenschaft Rhein-Ruhr eG,,,true,false,true,,,Heistermannstraße 65 - 46539 Dinslaken,
energieGUT GmbH,true,,false,false,true, ,www.energieGUT.de,Bungertstraße 27 - 47053 Duisburg,
Energiehandel Dresden GmbH,,,true,false,true,,,Hertha-Lindner-Str. 10 - 1067 Dresden,
Energie Sachsenheim GmbH & Co. KG,,,true,false,true,,,Siemensstraße 14 - 74343 Sachsenheim,
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),,true,false,false,false,0228 7111,www.stadtwerke-bonn.de/energieundwasser/privatkunden/produkte/strom/bonnnatur-strom.html,,regional
Energie- und Wasserversorgung Bruchsal GmbH,true,,false,false,true,Tel. 07251 / 706-444,www.bvb-blomberg.de,Schnabel-Henning-Str. 1 a - 76646 Bruchsal,
Energie- und Wasserversorgung Kirchzarten GmbH,,,true,false,false,,,,
Energie- und Wasserversorgung Rheine GmbH,true,,false,false,false,Tel. 05971 / 45193,www.stadtwerke-rheine.de,,
Energie und Wasser Waldbröl GmbH,,,true,false,false,,,,
Energieversorgung Bad Boll GmbH,true,,false,false,false,Tel. 07164 / 808-25,www.energie-bollwerk.de,,
Energieversorgung Dahlenburg-Bleckede AG,,,,true,false,,,,
Energieversorgung Kranenburg GmbH,,,true,false,false,,,,
Energieversorgung Mainhardt Wüstenrot GmbH & Co KG,,,true,false,false,,,,
Energieversorgung Michelfeld GmbH,,,true,false,false,,,,
Energieversorgung Oberes Wiesental GmbH,,true,true,false,false,07671 999960,www.eow-todtnau.de/,,regional
Energieversorgung Oberhausen Aktiengesellschaft,,,true,false,false,,,,
Energieversorgung Offenbach AG (EVO),,,true,false,false,,,,
Energieversorgung Rodau GmbH,,,true,false,true,,,Friedberger Straße 37 - 63110 Rodgau,
Energieversorgung Rüsselsheim GmbH,true,,false,false,true,Tel. 06142 / 500-222,www.stadtwerke-ruesselsheim.de,Walter-Flex-Straße 74 - 65428 Rüsselsheim,
Energieversorgung Sylt GmbH,,,true,false,false,,,,
Energieversorgung Titisee-Neustadt GmbH,,,true,false,true,,,Pfauenstraße 2 - 79822 Titisee-Neustadt,
Energieversorgung Trossingen GmbH,,true,true,false,false,07425 94020,www.swtro.de,,regional
Energiewerke Waldbröl GmbH,true,,false,false,true,Tel. 02291 / 9088-0,www.ew-waldbroel.de,Nümbrechter Straße 6 - 51545 Waldbröl,
"Energiewerk Ortenau Energiegesellschaft
GmbH & Co. KG",,,true,false,true,,,Rathausplatz 1 - 77855 Achern,
energy4u GmbH & Co. KG,true,,false,false,true,Tel. 0800 / 7878708,www.energy4u.de,Bachstraße 3 - 53721 Siegburg,
Energy Air GmbH,,true,false,false,false,069690 60539,www.fraport.de/content/fraport/de/konzern/fraport-weltweit/beteiligungen/energy-air-gmbh.html,,regional
enewa GmbH Energie + Wasser Wachtberg,true,,true,false,false,Tel. 0228 / 377368-0,www.enewa.de,,
Enno Energie GmbH,,,true,false,true,,,Keffelker Straße 27 - 59929 Brilon,
ENTEGA Energie GmbH,true,,false,false,true,Tel. 0800 / 1111 0555,www.entega.de,Frankfurter Straße 100 - 64293 Darmstadt,
Erdgas Südwest GmbH,,,true,false,true,,,Siemensstraße 9 - 76275 Ettlingen,
E-Regio GmbH & Co. KG,,,true,false,true,,,Rheinbacher Weg 10 - 53881 Euskirchen-Kuchenheim,
ESDG Energie-Service Dienstleistungsgesellschaft mbH,true,true,false,false,false, ,www.esdg.de,,bundesweit
ESWE Versorgungs AG,true,,false,false,true, ,www.eswe-versorgung.de,Konradinerallee 25 - 65189 Wiesbaden,
EVD EnergieVersorgung Deutschland GmbH,,,true,false,true,,,Straße der Nationen 12 - 9111 Chemnitz,
EVH GmbH,true,,false,false,false,Tel. 0800 / 581 33 33,www.evh.de,,
EWE AG,,,,true,false,,,,
E-Werk Stengle GmbH & Co. KG,,,true,false,false,,,,
EWS Elektrizitätswerke Schönau Vertriebs GmbH,true,,true,false,false,Tel. 07673 / 8885-0,www.ews-schoenau.de,,
ExtraEnergie GmbH,,,true,false,true,,,Europadamm 2-6 - 41460 Neuss,
Fair Trade Power Deutschland GmbH,,true,false,false,true,089 2112210,Privatpersonen: www.fairtradepower.de//products.php#pr Geschäftskunden: www.fairtradepower.de//products.php#bu Sondertarife: www.fairtradepower.de//products.php#sp,Vintschgauer Straße 5 - 81547 München,bundesweit
Föhrer Windkraft GmbH & Co. KG,,,true,false,false,,,,
Freisinger Stadtwerke Versorgungs-GmbH,,,true,false,false,,,,
Friesenenergie GmbH,,,true,false,true,,,Helmsteder Straße 1 - 26434 Wangerland,
Gas- und Wasserversorgung Höxter GmbH,,,true,false,false,,,,
Gasversorgungsgesellschaft mbH Rhein-Erft,,,true,false,true,,,Max-Planck-Straße 11 - 50354 Hürth,
Gebrüder Eirich GmbH,,,true,false,false,,,,
Gemeindeverwaltung Steißlingen,,,true,false,false,,,,
Gemeindewerke Bad Sassendorf GmbH,true,,false,false,false,Tel. 02921 / 50581,,,
Gemeindewerke Bobenheim-Roxheim GmbH,,true,false,false,true,06233 6020,www.gemeindewerke-boro.de/produkte/strom/naturstrom.html,Wormser Straße 111 - 67227 Frankenthal (Pfalz),regional
Gemeindewerke Bovenden GmbH & Co. KG,,,,true,false,,,,
Gemeindewerke Gundelfingen GmbH,,,true,false,false,,,,
Gemeindewerke Halstenbek,,true,false,false,false,04101 4907112,www.gwhalstenbek.de/aquawatt.html,,regional
Gemeindewerke Hardt,,true,false,false,false,07422 95880,www.hardt-online.de/gemeindewerke,,regional
Gemeindewerke Haßloch GmbH,,true,false,false,false,06324 59940,www.gwhassloch.de/index.php?page=produkte.versorgungsbedingungen#preisblatter_strom,,regional
Gemeindewerke Heikendorf GmbH,,,true,false,false,,,,
Gemeindewerke Hermaringen GmbH,,,true,false,false,,,,
Gemeindewerke Herxheim,,true,false,false,true,07276 50140,www.gemeindewerke-herxheim.de/de/energieversorgung/mehr-zum-sondertarif-naturstrom/,Am Rathaus 6 - 76863 Herxheim,regional
Gemeindewerke Hünxe GmbH,,,true,false,true,,,In der Beckkuhl 4 - 46569 Hünxe,
Gemeindewerke Kiefersfelden,,,true,false,false,,,,
Gemeindewerke Lambsheim,,true,false,false,false,06233 51090,www.lambsheim-hessheim.de,,regional
Gemeindewerke Münchweiler,,true,false,false,false,06395 92110,www.gemeindewerke-muenchweiler.de,,regional
Gemeindewerke Ruppichteroth GmbH,true,,false,false,true,Tel. 02295 / 907000,,Rathausstraße 18 - 43809 Ruppichteroth,
Gemeindewerke Schönkirchen GmbH,,,true,false,false,,,,
Gemeindewerke Stammbach AöR,,,true,false,false,,,,
Gemeindewerke Waldfischbach-Burgalben,,true,false,false,false,06333 27580,www.energie.waldfischbach-burgalben.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,,regional
Gemeindliche Werke Hengersberg,,,true,false,false,,,,
Georg Oest Mineralölwerk GmbH & Co. KG,true,,false,false,true,Tel. 0744 / 1539112,www.oest.de,Bahnhofstr. 5 - 72250 Freudenstadt,
GEW Wilhelmshaven GmbH,,,,true,false,,,,
Greenpeace Energy eG,true,,true,false,true,Tel. 040 / 808 110-600,www.greenpeace-energy.de,Schulterblatt 120 - 20357 Hamburg,
Grün.power GmbH,,,true,false,true,,,An der Fahrt 5 - 55124 Mainz,
Grünstromwerk Vertriebs GmbH,,,true,false,true,,,Oberhafenstraße 1 - 20097 Hamburg,
GWS Stadtwerke Hameln GmbH,,true,false,false,false,05151 7880,www.stadtwerke-hameln.de/produkte/strom/preise.html#stromtarife,,regional
Hamburg Energie GmbH,,,true,false,true,,,Billhorner Deich 2 - 20539 Hamburg,
Harz Energie GmbH & Co. KG,,,,true,false,,,,
Heinrich Klöcker GmbH & Co. KG,true,,false,false,true,Tel. 0286 / 1800744,www.kloecker.de,Ahauser Str. 21 - 46325 Borken,
Hellweg Energie GmbH,true,,false,false,false,Tel. 0241 / 282 9233,www.hellwegenergie.de,,
Hermann Bantleon GmbH,true,,false,false,true,Tel. 0731 / 3990190,www.bantleon.de,Blaubeurer Straße 32 - 89077 Ulm,
Herzo Werke GmbH,,,true,false,false,,,,
HHLP-Energy GmbH,,,true,false,true,,,Am Grundwasserwerk 12a - 22041 Hamburg,
HKD Handelsgesellschaft für Kirche und Diakonie mbH,true,,false,false,false,Tel. 0431 / 54 44-8844,www.hkd.de,,
Hochsauerland Energie GmbH,true,,false,false,true,Tel. 0290 / 4712 8011,www.hochsauerlandenergie.de,Auf 'm Brinke 11 - 59872 Meschede,
Innowatio GmbH,,,true,false,true,,,Katharinenstraße 6 - 4109 Leipzig,
KESLAR GmbH Energiehandel,true,,false,false,true,Tel. 0831 / 5753027,www.keslar.de,Ostbahnhofstr. 1 - 87437 Kempten (Allgäu),
LichtBlick SE,true,,false,false,true,Tel. 040 / 80803030,www.lichtblick.de,Zirkusweg 6 - 20359 Hamburg,
lLZHÖFERS Nachf. lnh. Walch KG,true,,false,false,false,Tel. 0821 / 5608027,www.ilzhoefer.com,,
Mainova AG,,true,false,false,false,0800 1144488,www.mainova.de/geschaeftskunden/mittelstand/produkte/strom/oeko-optionen.html,,regional
MANN Naturenergie GmbH & Co. KG,,true,false,false,true,02661 626215,www.mannstrom.de/mann-cent-tarif,Schulweg 8-14 - 57520 Langenbach,bundesweit
Mark-E AG,true,,false,false,false,Tel. 0800 / 123 1000,www.mark-e.de,,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,true,,false,false,false,Tel. 02173 / 9520-222,www.mega-monheim.de,,
Mindener Stadtwerke GmbH,,true,false,false,true,0800 5278941,www.mindener-stadtwerke.de/angebote/oekostrom.html,Großer Domhof 3 - 32423 Minden,regional
NaturEnergie + Deutschland GmbH,,true,false,false,true,0800 9999973,www.naturenergieplus.de/oekostrom/tarife/active-002,Heilbronner Straße 40 - 75417 Mühlacker,bundesweit
NATURSTROM AG,,true,false,false,false,naturstrom: 0211 77 900 100 BMW Green Energy: 0211 77900240,naturstrom: www.naturstrom.de/privatkunden/strom/ BMW Green Energy: http://strom.naturstrom.de/bmw-green-energy-powered-by-naturstrom-jetzt-wechseln/,,bundesweit
NEW Niederrhein Energie und Wasser GmbH,,true,false,false,false,0800 6886881,www.new-energie.de/privatkunden/strom/stromtarife/blauer-himmel,,regional
nvb Nordhorner Versorgungsbetriebe GmbH,,,,true,true,,,Gildkamp 10 - 48529 Nordhorn,
Otto Fricke & Co. GmbH,true,,false,false,true,Tel. 05241 / 10054,www.fricke-oil.de,Kaiserstraße 36 - 33330 Gütersloh,
Pfalzwerke AG,true,,false,false,false,Tel. 0621 / 570573123,www.123energie.de,,
PFALZWERKE AKTIENGESELLSCHAFT,,true,false,false,false,0800 2792000,www.pfalzwerke.de,,regional
Polarstern GmbH,,true,false,false,true,089 309042911,www.polarstern-energie.de/oekostrom/,Kreuzplätzchen 5 - 81669 München,bundesweit
Proefa GmbH,,,true,false,false,,,,
PROENGENO GmbH & Co. KG,,true,false,false,true,04902 9157000,www.proengeno.de/privatkunden/oekostrom,Nendorper Straße 15 - 26844 Jemgum,bundesweit
PROKON regenerative Energien eG,true,,true,false,false,Tel. 04821 / 6855222,www.prokon.net,,
Queichtal Energie Offenbach GmbH & Co. KG,,,true,false,false,,,,
Regionalwerk Bodensee GmbH & Co. KG,,true,false,false,true,07542 93790,www.rw-bodensee.de/privatkunden/oekostrom.html,Waldesch 29 - 88069 Tettnang,regional
Repower AG,true,,false,false,false, ,,,
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,,true,false,false,false,0800 6016010,rewario.strom.natur: www.rewag.de/privatkunden/strom/rewariostromnatur.htmlrewario.strom.mobil: www.rewag.de/privatkunden/strom/rewariostrommobil.html,,regional
Rheinhessische Energie- und Wasserversorgungs-GmbH,,,true,false,false,,,,
rhenag Rheinische Energie Aktiengesellschaft,,,true,false,false,,,,
RhönEnergie Fulda GmbH,,true,false,false,false,RhönSTROM Natur GSL: 0661 12450RhönStrom ÖkoRegio: 0661 12100,RhönSTROM Natur GSL: www.rhoenstrom.deRhönStrom ÖkoRegio: www.re-fd.de/strom/tarife/rhoenstrom-oekoregio,,RhönSTROM Natur GSL: bundesweitRhönStrom ÖkoRegio: regional
Rieger GmbH & Co. KG,,,true,false,false,,,,
RWE Vertrieb AG,,,,true,false,,,,
Schwarzwald Energy GmbH,,,true,false,true,,,Robert-Bosch-Straße 20 - 75365 Calw,
SE Sauber Energie GmbH & Co. KG,,,true,false,true,,,Bayenthalgürtel 9 - 50968 Köln,
Siegener Versorgungsbetriebe GmbH,,,true,false,true,,,Morleystraße 29 - 37 - 57072 Siegen,
Solar Genossenschaft Rosenheim e.G.,,,true,false,true,,,Am Gangsteig 16 - 83024 Rosenheim,
Stadtwerk am See GmbH & Co. KG,true,,false,false,true, ,www.stadtwerk-am-see.de,Kurt-Wilde-Straße 10 - 88662 Überlingen,
Stadtwerke Aachen AG,true,,false,false,false,Tel. 0241 / 181-0,www.stawag.de,,
Stadtwerke Altdorf GmbH,true,,false,false,true,Tel. 09187 / 929-0,www.stadtwerke-altdorf.de,Herbrucker Str. 6a - 90518 Altdorf,
Stadtwerke Andernach GmbH,,,true,false,true,,,Läufstraße 4 - 56626 Andernach,
Stadtwerke Annweiler am Trifels,,true,false,false,false,06346 30090,www.stadtwerke-annweiler.de/index.php/oekostrom.html,,regional
Stadtwerke Arnsberg GmbH,,,true,false,false,,,,
Stadtwerke Bad Belzig GmbH,,,true,false,true,,,Mauerstraße 17 - 14806 Bad Belzig,
Stadtwerke Bad Brückenau GmbH,,,true,false,true,,,Sinnaustraße 14 - 97769 Bad Brückenau,
Stadtwerke Bad Dürkheim,,true,false,false,false,06322 935813,www.sw-duerkheim.de/strom-stadtwerke/naturstrom/naturstrom.html,,regional
Stadtwerke Bad Harzburg GmbH,,,,true,false,,,,
Stadtwerke Bad Herrenalb GmbH,,,true,false,false,,,,
Stadtwerke Bad Hersfeld GmbH,,,true,false,false,,,,
Stadtwerke Bad Pyrmont Energie und Verkehrs GmbH,,,,true,false,,,,
Stadtwerke Bad Sachsa GmbH,,,,true,false,,,,
Stadtwerke Bad Salzdetfurth GmbH,,,,true,false,,,,
Stadtwerke Bad Saulgau,,,true,false,false,,,,
Stadtwerke Barsinghausen GmbH,,,true,false,true,,,Poststraße 1 - 30890 Barsinghausen,
Stadtwerke Bliestal GmbH,,true,false,false,false,06381 42070,www.stadtwerke.kusel.de,,regional
Stadtwerke Bramsche GmbH,,,,true,false,,,,
Stadtwerke Buchholz in der Nordheide GmbH,,,,true,false,,,,
Stadtwerke Burgdorf GmbH,,,,true,false,,,,
Stadtwerke Buxtehude GmbH,,,,true,false,,,,
Stadtwerke Castrop-Rauxel GmbH,,,true,false,true,,,Lönsstraße 12 - 44575 Castrop-Rauxel,
Stadtwerke Celle GmbH,,,true,false,true,,,Magnusstraße 2 - 29221 Celle,
Stadtwerke Clausthal-Zellerfeld GmbH,,,,true,false,,,,
Stadtwerke Deidesheim GmbH,,,true,false,false,,,,
Stadtwerke Delmenhorst GmbH,,,true,false,true,,,Fischstraße 32-34 - 27749 Delmenhorst,
Stadtwerke Einbeck GmbH,,,,true,false,,,,
Stadtwerke Emden GmbH,,,,true,false,,,,
Stadtwerke Ettlingen GmbH,true,,false,false,false,Tel. 07243 / 101-619,www.sw-ettlingen.de,,
Stadtwerke Eutin GmbH,true,,false,false,false,Tel. 04521 / 705300,www.stadtwerke-eutin.de/,,
Stadtwerke Flensburg GmbH,true,,false,false,false,Tel. 0461 / 487 44 55,www.stadtwerke-flensburg.de,,
Stadtwerke Frankenthal GmbH,true,,false,false,true,Tel. 06233 / 602-0,www.swift-energy.de,Wormser Straße 111 - 67227 Frankenthal (Pfalz),
Stadtwerke Garbsen GmbH,,,,true,true,,,Kochslandweg 20-22 - 30823 Garbsen,
Stadtwerke Geldern GmbH,true,,false,false,false,Tel. 02831 / 9333-43,www.swgeldern.de,,
Stadtwerke Georgsmarienhütte GmbH,,,,true,true,,,Malberger Straße 13 - 49124 Georgsmarienhütte,
Stadtwerke Hannover AG,,,,true,false,,,,
Stadtwerke Heidelberg Energie GmbH,true,,false,false,true,Tel. 06221 / 513-0,www.hvv-heidelberg.de,Kurfürsten-Anlage 42-50 - 69115 Heidelberg,
Stadtwerke Iserlohn GmbH,true,,false,false,false,Tel. 0800 / 5892242,www.sauerlandstrom-natur.de,,
Stadtwerke Karlsruhe GmbH,true,,false,false,false,Tel. 0800 / 200 300 6,www.stadtwerke-karlsruhe.de,,
Stadtwerke Konstanz GmbH,,,true,false,true,,,Max-Stromeyer-Straße 21-29 - 78467 Konstanz,
Stadtwerke Lambrecht (Pfalz) GmbH,,true,false,false,false,06325 1890,www.sw-lambrecht.de,,regional
Stadtwerke Landsberg KU,,,true,false,true,,,Epfenhauser Straße 12 - 86899 Landsberg am Lech,
Stadtwerke Langenfeld GmbH,true,,false,false,true,Tel. 02173 / 979-542,www.stw-langenfeld.de,Langforter Straße 7 - 40764 Langenfeld,
Stadtwerke Lengerich GmbH,true,,false,false,false,Tel. 054 81 / 80 05-40,www.stadtwerke-lengerich.de,,
Stadtwerke Lindau (B) GmbH & Co. KG,,,true,false,false,,,,
Stadtwerke Lingen GmbH,,,,true,true,,,Waldstraße 31 - 49808 Lingen/Ems,
Stadtwerke Lippstadt,true,,false,false,false,Tel. 02941 / 2829-12,www.stadtwerke-lippstadt.de,,
Stadtwerke Löffingen,,true,false,false,false,07654 8020,www.stadtwerke-loeffingen.de/index.php?id=420,,regional
Stadtwerke Loitz GmbH,,,true,false,true,,,Lange Straße 83 - 17121 Loitz,
Stadtwerke Lüdenscheid GmbH,true,,false,false,false,Tel. 0800 / 157 1000,www.swls.de,,
Stadtwerke Ludwigsburg-Kornwestheim GmbH,true,,false,false,false,Tel. 07141 / 910-2577,martina.hailer@swlb.de,,
Stadtwerke Menden GmbH,,true,false,false,false,02373 169 2313,naturliebeStrom: www.naturliebe-strom.de E-mobil: daheim: www.stadtwerke-menden.de,,regional
Stadtwerke Metzingen,,,true,false,false,,,,
Stadtwerke Mosbach GmbH,,,true,false,true,,,Am Henschelberg 6 - 74821 Mosbach,
Stadtwerke MüllheimStaufen GmbH,true,,true,false,true,Tel. 07631 / 93608-0,www.sw-muellheimstaufen.de,Marktstraße 1-3 - 79379 Müllheim,
Stadtwerke Munster-Bispingen GmbH,,,,true,false,,,,
Stadtwerke Münster GmbH,,true,false,false,false,0251 6941212,www.stadtwerke-muenster.de/privatkunden/strom/alle-stromprodukte/muensternatuerlich/produktuebersicht.html,,bundesweit
Stadtwerkenergie Ostwestfalen-Lippe GmbH,,,true,false,true,,,Am Gelskamp 10 - 32758 Detmold,
Stadtwerke Neuss GmbH,,,true,false,true,,,Moselstraße 25-27 - 41464 Neuss,
Stadtwerke Neustadt/Weinstraße GmbH,,true,false,false,false,06321 402271,www.swneustadt.de,,regional
Stadtwerke Neustadt a. d. Aisch GmbH,,,true,false,false,,,,
Stadtwerke Neustadt a. Rbge. GmbH,,,,true,false,,,,
Stadtwerke Neustadt an der Weinstraße GmbH,,,true,false,false,,,,
Stadtwerke Norderney GmbH,,,,true,false,,,,
Stadtwerke Northeim GmbH,,,,true,false,,,,
Stadtwerke Olching GmbH,,,true,false,true,,,Ilzweg 1 - 82140 Olching,
Stadtwerke Oldenburg in Holstein GmbH,,,true,false,true,,,Markt 1 - 23758 Oldenburg in Holstein,
Stadtwerke Osnabrück AG,,,,true,false,,,,
Stadtwerke Peine GmbH,,,,true,false,,,,
Stadtwerke Pfaffenhofen a. d. Ilm,,,true,false,false,,,,
Stadtwerke Pfullendorf GmbH,true,,false,false,false,Tel. 07552 / 25-1859,www.pfullendorf.de/stadtwerke,,
Stadtwerke Pinneberg GmbH,,true,false,false,false,04101 2030,www.stadtwerke-pinneberg.de/privatkunden/strom/pinnau-strom-natur.html,,regional
Stadtwerke Pirmasens Versorgungs GmbH,,true,false,false,false,06331 8760,www.stadtwerke-pirmasens.de/index.php?id=41,,regional
Stadtwerke Plön Versorgungs GmbH,true,,false,false,true,Tel. 04522 / 80 89 90,www.stadtwerke-ploen.de,Lübecker Straße 20 - 24306 Plön,
Stadtwerke Rees GmbH,,,true,false,true,,,Melatenweg 171 - 46459 Rees,
Stadtwerke Reichenbach/Vogtland GmbH,,,true,false,false,,,,
Stadtwerke Rinteln GmbH,,,,true,false,,,,
StadtWerke Rösrath - Energie GmbH,true,,true,false,true,Tel. 0241 / 181-7520,www.stadtwerke-roesrath.de,Hauptstraße 142 - 51503 Rösrath,
Stadtwerke Rotenburg (Wümme) GmbH,,,,true,false,,,,
Stadtwerke Rottenburg am Neckar GmbH,,,true,false,false,,,,
Stadtwerke Schaumburg-Lippe GmbH,,,,true,false,,,,
Stadtwerke Schneverdingen-Neuenkirchen GmbH,,,,true,false,,,,
Stadtwerke Schramberg GmbH & Co. KG,,true,false,false,false,07422 95340,www.stadtwerke-schramberg.de/de/Privatkunden,,regional
Stadtwerke Schüttorf GmbH,,,,true,false,,,,
Stadtwerke Schwäbisch Gmünd GmbH,true,,false,false,false,Tel. 07171 / 603 8111,www.nichtwegzudenken.de,,
Stadtwerke Schwentinental GmbH,,,true,false,false,,,,
Stadtwerke Soltau GmbH,,,true,false,false,,,,
Stadtwerke Soltau GmbH & Co. KG,,,,true,true,,,Weinberg 46 - 29614 Soltau,
Stadtwerke Springe GmbH,,true,false,true,true,05041 640798,www.stadtwerke-springe.de/privatkunden/stromprodukte/springenaturstrom/,Zum Oberntor 19 - 31832 Springe,regional
Stadtwerke St. Ingbert GmbH,,true,false,false,false,06894 95520,www.sw-igb.de/strom/produkte.html,,regional
Stadtwerke Stade GmbH,,,,true,false,,,,
Stadtwerke Stuttgart Vertriebsgesellschaft mbH,,,true,false,true,,,Friedrichstraße 45 - 70174 Stuttgart,
Stadtwerke Troisdorf GmbH,,,true,false,true,,,Poststraße 105 - 53840 Troisdorf,
Stadtwerke Uelzen GmbH,,,,true,false,,,,
Stadtwerke Uslar GmbH,,,,true,false,,,,
Stadtwerke Verden GmbH,,,,true,false,,,,
Stadtwerke Waiblingen GmbH,true,,false,false,false,Tel. 07151 / 131-184,www.sw-muellheimstaufen.de,,
Stadtwerke Waldkirch GmbH,true,,true,false,false,Tel. 07681 477889-99,www.stadtwerke-waldkirch.de,,
Stadtwerke Wesel GmbH,,,true,false,true,,,Emmericher Straße 11-29 - 46485 Wesel,
Stadtwerke Weserbergland,,true,false,false,false,05151 822870,www.stadtwerke-weserbergland.de/angebote/naturstrom.html,,regional
Stadtwerke Willich GmbH,true,,false,false,true,Tel. 02154 / 4702-280,www.stadtwerke-willich.de,Brauereistraße 7 - 47877 Willich,
Stadtwerke Winsen (Luhe) GmbH,,,,true,false,,,,
Stadtwerke Wolfenbüttel GmbH,,,true,true,false,,,,
Stadtwerke Zeil a. Main Energie am Fluss,,,true,false,false,,,,
Stadtwerke Zeven GmbH,,,,true,false,,,,
