Hersteller,Modell,Tarifbeispiel,Varianz Tarif,Mindestvertragslaufzeit (Monate),Kündigungsfrist (Wochen),Preisgarantie bis,Zertifikat,Stromquellen,Grundpreis (€/Monat),Arbeitspreis (Cent/kWh),Gesamtkosten 2-Personen (€/Jahr),Wer steht dahinter?,Column,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92,Column 93,Column 94,Column 95,Column 96,Column 97,Column 98,Column 99,Column 100,Column 101,Column 102,Column 103,Column 104,Column 105,Column 106,Column 107,Column 108,Column 109,Column 110,Column 111,Column 112,Column 113,Column 114,Column 115,Column 116,Column 117,Column 118,Column 119,Column 120,Column 121,Column 122,Column 123,Column 124,Column 125,Column 126,Column 127,Column 128
LichtBlick,LichtBlick-Ökostrom,bundesweit,bundesweit einheitlich,1.0,4.0,bis Ende des jeweiligen Kalenderjahres,OK-Power-Label,100%REG,"8,95","27,99",1.07,LichtBlick ist der größte Ökostromanbieter in Deutschland. Das Unternehmen mit Sitz in Hamburg befindet sich zu je 50 Prozent in Privatbesitz und im Besitz des niederländischen Öko-Energieversorgers Eneco.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANN Strom,MANN Strom 2017,Köln,PLZ-abhängig,keine,6.0,_,Grüner Strom Label,100% REG,"8,90","25,75",993.0,Im alleinigen Besitz von Markus Mann und Ehefrau.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURSTROM AG/ NaturStromHandel GmbH,,bundesweit,bundesweit einheitlich,keine,4.0,bis 31.12.2019,Grüner Strom Label,100%REG,"8,90","27,75",1.061,Die NATURSTROM AG ist komplett unabhängig von der Kohle- und Atomindustrie und wird von mehr als 970 Kleinaktionärinnen und -aktionären getragen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,Nicht empfehlenswerter Stromtarif,Hamburg,PLZ-abhängig,12.0,4.0,1 Jahr,_,"59,2 % KON, 40,8 % REG","8,90","28,26",1.079,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordstadtwerke GmbH,Gröönstrom STUDI,Ludwigshafen,PLZ-abhängig,12.0,6.0,1 Jahr,OK-Power-Label,100%REG,"7,05","25,01",945.0,"Die Nord Stadtwerke GmbH sind ein Zusammenschluss von fünf kommunalen und konzernfreien Stadtwerken aus Schleswig-Holstein (SW Rendsburg, Itzehoe, Quickborn, Gemeindewerke Halstenbek sowie Vereinigte SW (Mölln, Ratzeburg, Bad Oldesloe).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarstern Energie,Wirklich Ökostrom,Köln,PLZ-abhängig,1.0,2.0,bis 31.12.2018,Grüner Strom Label,100% REG,"14,65","25,32",1.047,"Die Polarstern GmbH ist zu 100% im Besitz der drei Gründer Dr. Jakob Assmann, Florian Henle, Simon Stadler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProEngeno GmbH und Co. KG,Naturmix PREMIUM,Ludwigshafen,PLZ-abhängig,12.0,4.0,1 Jahr,Grüner Strom Label,100% REG,"6,45","25,71",962.0,14 Privatpersonen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROKON Regenerative Energien eG,PROKON Strom,Ludwigshafen,PLZ-abhängig,keine,2.0,12 Monate ab Belieferungsbeginn,OK-Power-Label PLUS,100% REG,"6,00","26,10",970.0,PROKON Regenerative Energien eG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simply Green,100% Ökostrom,Ludwigshafen,PLZ-abhängig,12.0,2.0,1 Jahr,OK-Power-Label,100%REG,"8,00","25,73",981.0,SimplyGreen 100 % Ökostrom ist eine Produktmarke der ProSiebenSat.1 Digital GmbH. Leistungserbringer der Energielieferverträge und Vertragspartner hinsichtlich aller Energielie-ferverträge ist die ENTEGA Energie GmbH.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadtwerke Flensburg GmbH,Flensburg eXtra öko,Ludwigshafen,PLZ-abhängig,6.0,2.0,1 Jahr,OK-Power-Label,100%REG,"5,76","24,88",925.0,Die Stadtwerke Flensburg gehören zu 100 % der Stadt Flensburg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadtwerke Müllheim Staufen GmbH,AlemannenStrom Markgräfler-OK-Power+,bundesweit,bundesweit einheitlich,12.0,6.0,1 Jahr,OK-Power-Label,100% REG,"11,73","28,26",1.113,Stadtwerke MüllheimStaufen GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadtwerke Münster GmbH,Münster:natürlich,Ludwigshafen,PLZ-abhängig,12.0,4.0,1 Jahr,Grüner Strom Label,100%REG,"8,72","27,69",1.057,Als kommunales Unternehmen sind wir zu 100 % im Besitz der Stadt Münster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
susiEnergie,susiÖkostrom Fix,Köln,PLZ-abhängig,0/12/24,6.0,1 Jahr,OK-Power-Label,100 % REG,"7,50","25,35",962.0,Technische Werke Schussental GmbH & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wemio,wemio-Ökoaktivstrom,Köln,PLZ-abhängig,12.0,6.0,bis 31.12.2019,Grüner Strom Label,100%REG,"9,33","23,72",928.0,"Als kommunales Unternehmen stehen hinter der WEMAG die Kommunen der Region (zu 74,9 Prozent) und die Thüga Aktiengesellschaft (zu 25,1 Prozent), die Kern des bundesweit größten kommunalen Netzwerks lokaler und regionaler Energieversorger ist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
