Energieversorgungsunternehmen (EVU),Ökostrom-Tarif,"Label
(laut Website des EVU oder
des Label-Anbieters)"
Stadtwerke Hannover AG,Energieversorgungsunternehmen (EVU),Ökostrom-Tarif
Stadtwerke Lingen GmbH,Stadtwerke Lingen GmbH,Stadtwerke 'Natur'
Stadtwerke Munster-Bispingen GmbH,Stadtwerke Munster-Bispingen GmbH,"heidjerStrom  ""klima"""
Stadtwerke Neustadt a. Rbge. GmbH,Stadtwerke Neustadt a. Rbge. GmbH,ener-ü Strom Natur
Stadtwerke Norderney GmbH,,7NEYSTROM STANDARD
Stadtwerke Norderney GmbH,,7NEYSTROM SPEZIAL
Stadtwerke Northeim GmbH,"1, 3",Grund-und Ersatzversorgung
Stadtwerke Northeim GmbH,,NOMstrom
Stadtwerke Osnabrück AG,Stadtwerke Osnabrück AG,Strom fixnatur
Stadtwerke Osnabrück AG,,stromBasis
Stadtwerke Osnabrück AG,,stromDirekt
Stadtwerke Peine GmbH,3Stadtwerke Peine GmbH,stromIdeal
Stadtwerke Peine GmbH,,stromPlus
Stadtwerke Peine GmbH,,stromPur
Stadtwerke Rinteln GmbH,,TrendStrom
Stadtwerke Rinteln GmbH,,TrendStrom Lokal
Stadtwerke Rotenburg (Wümme) GmbH,,SR Natur plus
Stadtwerke Rotenburg (Wümme) GmbH,,SR Natur
Stadtwerke Schaumburg-Lippe GmbH,Stadtwerke Schaumburg-Lippe GmbH,STROMÖKO
Stadtwerke Schneverdingen-Neuenkirchen GmbH,Stadtwerke Schneverdingen-Neuenkirchen GmbH,NaturWatt
Stadtwerke Schüttorf GmbH,Stadtwerke Schüttorf GmbH,SWS Strom Natur
Stadtwerke Soltau GmbH & Co. KG,3,Grundversorgung
Stadtwerke Soltau GmbH & Co. KG,,Inclusiv 2000 plus
Stadtwerke Springe GmbH,Stadtwerke Springe GmbH,Springe|Naturstrom
Stadtwerke Stade GmbH,Stadtwerke Stade GmbH,NaturWatt fix
Stadtwerke Uelzen GmbH,,Ökostromtarif mycity basis
Stadtwerke Uelzen GmbH,3Stadtwerke Uelzen GmbH,Ökostromtarif mycity fiff
Stadtwerke Uelzen GmbH,,Ökostromtarif mycity fix
Stadtwerke Uslar GmbH,,7Grundversorgung (Öko-Tarif)
Stadtwerke Uslar GmbH,,7Solling-Strom (Öko-Tarif)
Stadtwerke Verden GmbH,Stadtwerke Verden GmbH,VerNaturstrom
Stadtwerke Winsen (Luhe) GmbH,Stadtwerke Winsen (Luhe) GmbH,Stadtwerke NaturWatt
Stadtwerke Wolfenbüttel GmbH,,WF-eco Strom
Stadtwerke Wolfenbüttel GmbH,,WF-natur Strom
Stadtwerke Zeven GmbH,Stadtwerke Zeven GmbH,ZevenNaturWatt Premiumqualität
SVO Vertrieb GmbH,SVO Vertrieb GmbH,SVO Strom |natürlich
Teutoburger Energie Netzwerk eG,1,PuraStrom cleverFIX
Teutoburger Energie Netzwerk eG,,PuraStrom
Überlandwerk Leinetal GmbH,,NaturEnergie (Grundversorgung)
Überlandwerk Leinetal GmbH,,NaturEnergie (Sondervertrag)
Versorgungsbetriebe Hann. Münden GmbH,Versorgungsbetriebe Hann. Münden GmbH,MÜNDENökostrom
WEVG Salzgitter GmbH & Co. KG,,NaturWatt Strom
WEVG Salzgitter GmbH & Co. KG,,NaturWatt-Strom online fix
Wirtschaftsbetriebe der Stadt Norden GmbH - Stadtwerke Norden,Wirtschaftsbetriebe der Stadt Norden GmbH - Stadtwerke Norden,NöRDER strom natur
Wirtschaftsbetriebe der Stadt NSHB Borkum GmbH,NaturWatt Grundversorgung,TÜV NORD (Standard A75-S026-1)
