Anbieter,Telefon,Website,Adresse,Verfügbarkeit,Ok Power,Grünstrom,Energie&Management
Stadtwerke Bliestal GmbH,06381 42070,www.stadtwerke.kusel.de,,regional,,true,false
Stadtwerke Ettlingen GmbH,Tel. 07243 / 101-619,www.sw-ettlingen.de,Hertzstraße 33 - 76275 Ettlingen,,true,,false
Stadtwerke Eutin GmbH,Tel. 04521 / 705300,www.stadtwerke-eutin.de/,Holstenstr. 6 - 23701 Eutin,,true,,false
Stadtwerke Flensburg GmbH,Tel. 0461 / 487 44 55,www.stadtwerke-flensburg.de,Batteriestr. 48 - 24939 Flensburg,,true,,false
Stadtwerke Frankenthal GmbH,Tel. 06233 / 602-0,www.swift-energy.de,Wormser Straße 111 - 67227 Frankenthal (Pfalz),,true,,false
Stadtwerke Geldern GmbH,Tel. 02831 / 9333-43,www.swgeldern.de,Markt 25 - 47608 Geldern,,true,,false
Stadtwerke Heidelberg Energie GmbH,Tel. 06221 / 513-0,www.hvv-heidelberg.de,Kurfürsten-Anlage 42-50 - 69115 Heidelberg,,true,,false
Stadtwerke Iserlohn GmbH,Tel. 0800 / 5892242,www.sauerlandstrom-natur.de,Stefanstr. 4-8 - 58636 Iserlohn,,true,,false
Stadtwerke Karlsruhe GmbH,Tel. 0800 / 200 300 6,www.stadtwerke-karlsruhe.de,Daxlander Str. 72 - 76185 Karlsruhe,,true,,false
Stadtwerke Lambrecht (Pfalz) GmbH,06325 1890,www.sw-lambrecht.de,,regional,,true,false
Stadtwerke Langenfeld GmbH,Tel. 02173 / 979-542,www.stw-langenfeld.de,Langforter Str. 7 - 40764 Langenfeld,,true,,false
Stadtwerke Lengerich GmbH,Tel. 054 81 / 80 05-40,www.stadtwerke-lengerich.de,An der Mühlenbreede 4 - 49525 Lengerich,,true,,false
Stadtwerke Lippstadt,Tel. 02941 / 2829-12,www.stadtwerke-lippstadt.de,Bunsenstr. 2 - 59557 Lippstadt,,true,,false
Stadtwerke Ludwigsburg-Kornwestheim GmbH,Tel. 07141 / 910-2577,martina.hailer@swlb.de,Gänsfußallee 23 - 71636 Ludwigsburg,,true,,false
Stadtwerke Löffingen,07654 8020,www.stadtwerke-loeffingen.de/index.php?id=420,,regional,,true,false
Stadtwerke Lüdenscheid GmbH,Tel. 0800 / 157 1000,www.swls.de,Lennestraße 2 - 58507 Lüdenscheid,,true,,false
Stadtwerke Menden GmbH,02373 169 2313,naturliebeStrom: www.naturliebe-strom.de E-mobil: daheim: www.stadtwerke-menden.de,,regional,,true,false
Stadtwerke MüllheimStaufen GmbH,Tel. 07631 / 93608-0,www.sw-muellheimstaufen.de,Am Schießrain 1a 79219 Staufen i.Br. -  ,,true,,true
Stadtwerke Münster GmbH,0251 6941212,www.stadtwerke-muenster.de/privatkunden/strom/alle-stromprodukte/muensternatuerlich/produktuebersicht.html,,bundesweit,,true,false
Stadtwerke Neustadt/Weinstraße GmbH,06321 402271,www.swneustadt.de,,regional,,true,false
Stadtwerke Pfullendorf GmbH,Tel. 07552 / 25-1859,www.pfullendorf.de/stadtwerke,Bahnhofstraße 6 - 88630 Pfullendorf,,true,,false
Stadtwerke Pinneberg GmbH,04101 2030,www.stadtwerke-pinneberg.de/privatkunden/strom/pinnau-strom-natur.html,,regional,,true,false
Stadtwerke Pirmasens Versorgungs GmbH,06331 8760,www.stadtwerke-pirmasens.de/index.php?id=41,,regional,,true,false
Stadtwerke Plön Versorgungs GmbH,Tel. 04522 / 80 89 90,www.stadtwerke-ploen.de,Lübecker Straße 20 - 24306 Plön,,true,,false
Stadtwerke Schramberg GmbH & Co. KG,07422 95340,www.stadtwerke-schramberg.de/de/Privatkunden,,regional,,true,false
Stadtwerke Schwäbisch Gmünd GmbH,Tel. 07171 / 603 8111,www.nichtwegzudenken.de,Bürgerstraße 5 - 73525 Schwäbisch Gmünd,,true,,false
Stadtwerke Springe GmbH,05041 640798,www.stadtwerke-springe.de/privatkunden/stromprodukte/springenaturstrom/,,regional,,true,false
Stadtwerke St. Ingbert GmbH,06894 95520,www.sw-igb.de/strom/produkte.html,,regional,,true,false
Stadtwerke Waiblingen GmbH,Tel. 07151 / 131-184,www.sw-muellheimstaufen.de,Schorndorfer Str. 67 - 71332 Waiblingen,,true,,false
Stadtwerke Waldkirch GmbH,Tel. 07681 477889-99,www.stadtwerke-waldkirch.de,Fabrikstraße 15 - 79183 Waldkirch,,true,,true
Stadtwerke Weserbergland,05151 822870,www.stadtwerke-weserbergland.de/angebote/naturstrom.html,,regional,,true,false
Stadtwerke Willich GmbH,Tel. 02154 / 4702-280,www.stadtwerke-willich.de,Brauereistraße 7 - 47877 Willich,,true,,false
Stadtwerke Zweibrücken GmbH,06332 8740,www.stadtwerke-zw.de/privatkunden/strom/naturstrom/,,regional,,true,false
Stromio GmbH,Stromio Kundenservice Tel. (Festnetz) 0800 / 58 58 224 Tel. (mobil) 0211 / 777 957 10,https://www.gruenwelt.de/,Girmes-Kreuz-Str. 55 - 41564 Kaarst,,true,,false
Stromversorgung Neunkirchen GmbH,09123 1730,www.stwl.lauf.de/de/Strom/Oekostrom/Sie-wollen-Strom-aber-natuerlich.html,,regional,,true,false
Technische Werke Schussental GmbH & Co. KG,Tel. 0751 / 804-4980,www.tws.de,Schussenstraße 22 - 88212 Ravensburg,,true,,true
Verbands- und Gemeindewerke Rülzheim,07272 70021011,www.gemeindewerke-ruelzheim.de/energie/naturstrom_ru.html,,regional,,true,false
Verbandsgemeindewerk Dannstadt-Schauernheim,06231 4010,www.vg-werk-dannstadt-schauernheim.de,,regional,,true,false
Verbandsgemeindewerke Dudenhofen,06232 6560,www.vgrd.de/vg_rd/Werke/Naturstrom/,,regional,,true,false
Verbandsgemeindewerke Eisenberg/Ramsen,06351 407100,www.vgwerke-eisenberg.de,,regional,,true,false
Verbandsgemeindewerke Enkenbach-Alsenborn,06303 913124,www.enkenbach-alsenborn.de,,regional,,true,false
Verbandsgemeindewerke Hettenleidelheim,0621 585-2010,www.vg-h.de/node/22,,regional,,true,false
Verbandsgemeindewerke Hochspeyer,06305 710,www.vgw-hochspeyer.de,,regional,,true,false
WEMAG AG,wemio-Ökoaktivstrom: 0385 7552755  WEMAG-Ökoaktivstrom: 0385 7551771  WEMAG Premium-Ökoaktivstrom: 0385 7551771,wemio-Ökoaktivstrom: www.wemag.com/privatkunden/strom/wemio_strom/  WEMAG (Premium-)Ökoaktivstrom: www.wemag.com/geschaeftskunden/strom/klimakollekte,,bundesweit,,true,false
Wadersloh Energie GmbH,Tel. 02523 / 950-1888,www.wadersloh-energie.de,Liesborner Straße 5 - 59329 Wadersloh,,true,,false
badenova AG & Co. KG,Tel. 08002 / 83 84 85,www.badenova.de,Tullastr. 61 - 79108 Freiburg,,true,,false
enercity - Stadtwerke Hannover AG,0511 4300,https://www.enercity.de/privatkunden/produkte/strom/oekostrom-premium/,,regional,,true,false
energieGUT GmbH, ,www.energieGUT.de,Bungertstr. 27 - 47053 Duisburg,,true,,false
energy4u GmbH & Co. KG,Tel. 0800 / 7878708,www.energy4u.de,Bachstraße 3 - 53721 Siegburg,,true,,false
enewa GmbH Energie + Wasser Wachtberg,Tel. 0228 / 377368-0,www.enewa.de,Am Wachtbergring 2a - 53343 Wachtberg,,true,,true
lLZHÖFERS Nachf. lnh. Walch KG,Tel. 0821 / 5608027,www.ilzhoefer.com,Siebentischstr. 16a - 86161 Augsburg,,true,,false
susiEnergie GmbH,Tel. 0800 / 7874123,,Gerberstrasse 7 - 88250 Weingarten,,true,,true
